TEST DE PARAMÈTRE 
p = 50
t = 5

 
Listes des gaps moyens de chaque valeur: 

H_160_0.7 : 0.37
V_85_0.6 : 0.37
V_80_0.7 : 0.38
H_155_0.7 : 0.38
H_140_0.4 : 0.38
H_150_0.5 : 0.39
V_90_0.8 : 0.39
H_130_0.3 : 0.39
V_70_0.5 : 0.39
H_150_0.6 : 0.39
V_95_0.8 : 0.4
V_70_0.6 : 0.4
H_115_0.3 : 0.4
H_115_0.2 : 0.41
H_190_0.8 : 0.41
V_55_0.2 : 0.41
H_120_0.2 : 0.41
H_200_0.8 : 0.42
H_135_0.4 : 0.42
V_135_0.8 : 0.42
H_110_0.2 : 0.42
H_125_0.3 : 0.42
H_150_0.7 : 0.43
V_75_0.6 : 0.43
H_145_0.5 : 0.43
H_185_0.8 : 0.43
V_65_0.5 : 0.44
V_110_0.8 : 0.44
V_135_0.9 : 0.45
V_60_0.4 : 0.45
H_120_0.3 : 0.45
H_140_0.5 : 0.46
V_80_0.9 : 0.47
H_155_0.8 : 0.47
H_195_0.8 : 0.47
V_120_0.8 : 0.47
H_160_0.8 : 0.47
H_135_0.5 : 0.47
V_80_0.8 : 0.47
V_100_0.8 : 0.48
H_170_0.8 : 0.48
H_180_0.8 : 0.48
H_105_0.2 : 0.49
H_110_0.3 : 0.49
H_165_0.8 : 0.5
V_55_0.3 : 0.5
H_150_0.8 : 0.51
H_215_0.9 : 0.52
H_140_0.6 : 0.52
H_115_0.4 : 0.52
V_65_0.6 : 0.52
H_210_0.9 : 0.53
H_145_0.6 : 0.53
H_175_0.8 : 0.54
H_125_0.4 : 0.54
H_130_0.4 : 0.54
H_125_0.5 : 0.55
H_130_0.5 : 0.56
V_115_0.8 : 0.56
H_140_0.7 : 0.57
H_145_0.7 : 0.57
H_120_0.4 : 0.57
H_120_0.5 : 0.58
H_105_0.3 : 0.58
V_60_0.5 : 0.58
H_135_0.6 : 0.58
H_205_0.9 : 0.58
V_55_0.4 : 0.6
V_130_0.8 : 0.61
H_100_0.2 : 0.61
H_95_0.2 : 0.62
V_90_0.9 : 0.62
H_200_0.9 : 0.63
H_140_0.8 : 0.64
H_100_0.3 : 0.64
V_50_0.2 : 0.64
H_115_0.5 : 0.65
V_65_0.7 : 0.65
H_110_0.4 : 0.65
H_190_0.9 : 0.65
H_145_0.8 : 0.65
V_75_0.9 : 0.66
V_75_0.8 : 0.66
V_130_0.9 : 0.66
H_95_0.3 : 0.67
H_105_0.4 : 0.68
V_125_0.8 : 0.68
H_135_0.7 : 0.68
V_50_0.3 : 0.69
H_195_0.9 : 0.69
H_130_0.6 : 0.69
V_55_0.5 : 0.69
V_60_0.7 : 0.69
H_90_0.2 : 0.7
H_80_0.2 : 0.7
V_85_0.9 : 0.7
V_70_0.7 : 0.71
H_85_0.2 : 0.71
H_140_0.9 : 0.73
H_115_0.6 : 0.73
H_90_0.3 : 0.73
H_100_0.4 : 0.74
H_180_0.9 : 0.75
H_95_0.4 : 0.75
H_185_0.9 : 0.77
V_60_0.6 : 0.77
V_95_0.9 : 0.79
V_100_0.9 : 0.8
H_150_0.9 : 0.8
H_110_0.5 : 0.81
H_105_0.5 : 0.81
H_155_0.9 : 0.81
H_135_0.9 : 0.82
H_125_0.6 : 0.84
H_145_0.9 : 0.84
